project_id,customer_id,start_date,planned_end_date,actual_end_date,planned_budget,actual_cost,earned_value,completion_status
PRJ-0001,CUST-0089,2024-05-04,2025-03-11,2025-06-07,43226.55,42964.7,36476.14,In Progress
PRJ-0002,CUST-0097,2024-05-02,2024-12-24,2025-02-22,97456.96,85630.95,78958.0,Completed
PRJ-0003,CUST-0002,2024-02-02,2025-05-07,2025-10-18,69446.91,86405.5,67651.32,Completed
PRJ-0004,CUST-0019,2024-01-01,2025-07-21,2025-11-26,179795.27,189237.69,145722.02,Completed
PRJ-0005,CUST-0020,2024-07-22,2025-07-13,2025-02-25,27305.43,30291.19,22172.92,In Progress
PRJ-0006,CUST-0093,2024-01-06,2025-01-29,2025-03-15,184470.95,174590.36,150354.96,Completed
PRJ-0007,CUST-0070,2024-10-23,2025-02-28,2025-03-13,169938.94,143196.08,161609.56,In Progress
PRJ-0008,CUST-0017,2024-01-05,2024-12-06,2025-03-23,73562.73,91154.66,65856.04,Completed
PRJ-0009,CUST-0089,2024-03-20,2025-07-07,2025-08-05,162072.32,150535.46,143312.56,Completed
PRJ-0010,CUST-0068,2024-09-30,2024-11-02,2025-04-19,25618.44,25380.54,20500.97,Delayed
PRJ-0011,CUST-0094,2024-06-25,2025-05-30,2025-08-31,194035.8,211972.23,183435.87,In Progress
PRJ-0012,CUST-0084,2024-05-15,2025-01-03,2025-08-05,114787.09,93105.39,81672.07,Delayed
PRJ-0013,CUST-0003,2024-01-25,2025-01-03,2025-05-21,74590.58,86869.43,71699.39,Completed
PRJ-0014,CUST-0087,2024-07-01,2025-01-15,2025-08-10,85264.98,88800.08,72801.37,Completed
PRJ-0015,CUST-0051,2024-06-16,2024-11-25,2025-10-25,31952.96,29562.81,26184.65,In Progress
PRJ-0016,CUST-0082,2024-06-26,2025-01-07,2025-04-30,198082.91,163957.9,168202.14,In Progress
PRJ-0017,CUST-0026,2024-04-04,2025-07-15,2025-06-20,27072.55,23637.7,24371.38,Completed
PRJ-0018,CUST-0056,2024-02-02,2025-01-23,2025-05-09,137883.28,165841.22,97046.34,Completed
PRJ-0019,CUST-0100,2024-04-20,2025-05-22,2025-10-06,99692.47,110530.13,95850.88,In Progress
PRJ-0020,CUST-0064,2024-05-25,2025-05-27,2025-05-04,190804.92,174101.05,159135.47,Completed
PRJ-0021,CUST-0008,2024-08-18,2025-07-19,2025-04-03,64279.95,53321.53,51609.73,In Progress
PRJ-0022,CUST-0081,2024-09-28,2025-08-15,2025-03-03,115775.63,128600.89,85844.58,Completed
PRJ-0023,CUST-0095,2024-02-07,2025-05-21,2025-04-16,106824.12,112975.42,88860.53,Completed
PRJ-0024,CUST-0037,2024-05-14,2025-01-11,2025-10-31,146515.96,143883.62,124376.93,Delayed
PRJ-0025,CUST-0097,2024-08-22,2025-08-10,2025-02-27,32241.84,31069.05,26473.58,Completed
PRJ-0026,CUST-0027,2024-06-08,2024-12-12,2025-05-26,54882.04,49260.28,49591.3,Completed
PRJ-0027,CUST-0045,2024-02-07,2025-02-13,2025-11-30,58621.67,64561.51,48437.27,In Progress
PRJ-0028,CUST-0004,2024-05-29,2025-05-14,2025-03-31,152867.14,189066.17,151097.74,Completed
PRJ-0029,CUST-0086,2024-01-29,2025-05-24,2025-09-14,54044.97,47509.41,47547.86,Completed
PRJ-0030,CUST-0090,2024-05-23,2025-03-29,2025-06-03,123228.52,131694.62,116111.26,In Progress
PRJ-0031,CUST-0096,2024-03-16,2024-11-05,2025-08-01,58743.89,58208.34,43047.92,Completed
PRJ-0032,CUST-0088,2024-05-24,2025-04-01,2025-11-18,175092.49,175269.32,143433.56,Completed
PRJ-0033,CUST-0099,2024-08-16,2025-07-14,2025-11-11,189593.38,173357.79,151874.59,Completed
PRJ-0034,CUST-0037,2024-03-04,2025-01-11,2025-08-11,113328.74,132743.17,98691.73,Completed
PRJ-0035,CUST-0096,2024-09-25,2025-07-10,2025-04-10,83415.6,84947.53,79940.01,In Progress
PRJ-0036,CUST-0071,2024-07-02,2025-03-06,2025-11-28,62130.4,64897.23,44951.44,In Progress
PRJ-0037,CUST-0033,2024-09-17,2025-01-01,2025-10-10,28960.58,27140.19,20902.95,Completed
