ticket_id,customer_id,created_date,resolved_date,category,priority,status,first_contact_resolution,csat_score
TKT-000001,CUST-0047,2025-03-21,2025-12-12,Product Inquiry,High,Closed,0,5
TKT-000002,CUST-0094,2024-08-16,2025-02-15,Product Inquiry,Medium,Closed,1,2
TKT-000003,CUST-0021,2024-05-04,2024-07-14,Returns,Medium,Closed,1,4
TKT-000004,CUST-0030,2024-08-23,2024-09-15,Technical Support,Low,Closed,1,4
TKT-000005,CUST-0092,2024-06-10,2024-12-01,Returns,High,Closed,1,4
TKT-000006,CUST-0031,2025-07-07,2024-02-29,Technical Support,Medium,Closed,1,4
TKT-000007,CUST-0026,2024-12-18,2024-08-23,Billing,High,In Progress,1,2
TKT-000008,CUST-0022,2024-03-08,2025-09-15,Billing,Low,Closed,1,4
TKT-000009,CUST-0021,2024-06-21,2025-10-08,Technical Support,Medium,Closed,1,4
TKT-000010,CUST-0001,2025-09-28,2025-05-28,Technical Support,High,Closed,1,3
TKT-000011,CUST-0037,2025-11-12,2024-07-02,Technical Support,Critical,Closed,1,5
TKT-000012,CUST-0077,2025-07-12,2024-08-08,Technical Support,Low,Closed,0,5
TKT-000013,CUST-0085,2024-09-17,2024-09-19,Product Inquiry,High,In Progress,0,4
TKT-000014,CUST-0046,2024-08-04,2025-08-02,Returns,Low,Resolved,1,3
TKT-000015,CUST-0009,2024-05-03,2025-07-05,Product Inquiry,Medium,Closed,1,4
TKT-000016,CUST-0017,2024-06-10,2025-09-13,Returns,Low,Closed,0,3
TKT-000017,CUST-0047,2024-07-19,2025-10-11,Returns,Medium,Closed,0,3
TKT-000018,CUST-0085,2025-03-29,2024-03-17,Returns,Low,Closed,0,5
TKT-000019,CUST-0095,2025-02-05,2024-04-27,Product Inquiry,Low,Closed,1,1
TKT-000020,CUST-0059,2025-04-06,2025-04-02,Technical Support,Low,Closed,1,2
TKT-000021,CUST-0054,2024-10-01,2025-08-24,Product Inquiry,Low,In Progress,0,1
TKT-000022,CUST-0086,2024-07-24,2024-06-07,Product Inquiry,High,Closed,1,3
TKT-000023,CUST-0012,2024-02-09,2024-05-03,Returns,Critical,Closed,1,2
TKT-000024,CUST-0064,2024-09-29,2025-09-19,Billing,High,Resolved,1,5
TKT-000025,CUST-0006,2025-11-30,2025-12-30,Billing,Low,Closed,1,3
TKT-000026,CUST-0053,2024-04-02,2024-11-07,Product Inquiry,Medium,Closed,0,2
TKT-000027,CUST-0016,2024-02-11,2025-02-21,Returns,Medium,Closed,1,3
TKT-000028,CUST-0090,2025-04-09,2024-10-13,Product Inquiry,Critical,Closed,0,5
