ledger_id,date_id,location_id,account_category,department,budget_amount,actual_amount
LED-000001,20251016,LOC-007,Payroll,Finance,37324.9,39738.03
LED-000002,20250203,LOC-007,Revenue,Finance,16130.31,17310.9
LED-000003,20240909,LOC-001,Revenue,Operations,33827.68,31618.99
LED-000004,20260219,LOC-009,Revenue,Operations,34997.02,38493.87
LED-000005,20260530,LOC-008,COGS,HR,12321.49,10867.39
LED-000006,20260313,LOC-004,COGS,Finance,30428.84,27986.76
LED-000007,20250403,LOC-010,Payroll,HR,39723.21,45964.3
LED-000008,20251129,LOC-005,Revenue,Finance,27450.3,30430.12
LED-000009,20260705,LOC-002,OpEx,HR,5544.64,4739.62
LED-000010,20250513,LOC-009,Payroll,HR,5406.73,5065.74
LED-000011,20260714,LOC-006,Revenue,Marketing,21066.32,19487.24
LED-000012,20250522,LOC-003,Revenue,HR,46678.73,44101.23
LED-000013,20241030,LOC-007,COGS,Operations,15290.46,14321.75
LED-000014,20250515,LOC-009,Payroll,HR,33546.37,29248.55
LED-000015,20260313,LOC-003,Revenue,Finance,14993.41,15152.78
LED-000016,20250820,LOC-002,Revenue,HR,19475.15,21548.41
LED-000017,20240614,LOC-007,Payroll,Sales,43161.89,45853.3
LED-000018,20250218,LOC-007,OpEx,IT,37798.76,41030.75
LED-000019,20250406,LOC-004,Payroll,Finance,9292.97,8162.97
LED-000020,20260708,LOC-009,Payroll,Sales,24291.59,28737.48
LED-000021,20240423,LOC-008,OpEx,Finance,6312.64,7218.33
LED-000022,20250308,LOC-001,Payroll,Operations,26640.06,30150.73
LED-000023,20241221,LOC-001,Revenue,IT,34809.53,39614.79
LED-000024,20260716,LOC-005,Payroll,IT,10332.62,12155.8
LED-000025,20251125,LOC-006,OpEx,Operations,17999.82,18728.61
LED-000026,20240725,LOC-003,Marketing Spend,IT,22902.65,21072.7
LED-000027,20260206,LOC-009,Payroll,Operations,46378.9,49434.08
LED-000028,20240822,LOC-010,COGS,Sales,49696.48,55163.52
LED-000029,20250317,LOC-006,Revenue,Marketing,7021.01,7781.18
LED-000030,20241220,LOC-004,Revenue,Finance,39245.36,40521.12
LED-000031,20250529,LOC-007,COGS,Operations,21727.58,18989.05
LED-000032,20240726,LOC-008,COGS,Finance,22660.62,22204.9
