operation_id,date_id,location_id,service_type,total_capacity,utilized_capacity,fulfillment_status,cycle_time_hours
OPS-000001,20240409,LOC-009,Logistics,174,98,Delivered,11.8
OPS-000002,20251019,LOC-002,Facility Mgmt,84,76,Delivered,10.4
OPS-000003,20240109,LOC-008,Facility Mgmt,168,149,Delivered,2.8
OPS-000004,20250727,LOC-009,Logistics,63,31,Delivered,31.2
OPS-000005,20251127,LOC-003,Logistics,63,58,Delivered,13.3
OPS-000006,20240129,LOC-002,Logistics,59,30,Delivered,3.5
OPS-000007,20260611,LOC-007,Catering,189,116,Delivered,11.9
OPS-000008,20240423,LOC-005,Event Hosting,87,44,Delayed,38.7
OPS-000009,20250406,LOC-005,Event Hosting,157,103,Delayed,41.0
OPS-000010,20260709,LOC-010,Facility Mgmt,168,125,Delivered,23.7
OPS-000011,20240522,LOC-005,Event Hosting,83,73,Delivered,20.6
OPS-000012,20250124,LOC-004,Catering,59,39,Delivered,47.0
OPS-000013,20250923,LOC-005,Logistics,171,143,Delivered,10.4
OPS-000014,20251112,LOC-004,Facility Mgmt,194,114,Delivered,11.1
OPS-000015,20240605,LOC-006,Facility Mgmt,194,166,Delivered,14.7
OPS-000016,20241130,LOC-004,Event Hosting,164,100,Delivered,9.1
OPS-000017,20260510,LOC-002,Facility Mgmt,50,28,Delivered,18.8
OPS-000018,20240916,LOC-009,Logistics,61,35,Delivered,43.8
OPS-000019,20240322,LOC-002,Facility Mgmt,152,89,Cancelled,29.9
OPS-000020,20260123,LOC-009,Logistics,53,39,Delivered,20.4
OPS-000021,20250316,LOC-010,Catering,190,172,Delivered,44.9
OPS-000022,20240620,LOC-006,Catering,147,79,Delivered,3.3
OPS-000023,20240818,LOC-009,Logistics,155,130,Delivered,10.9
OPS-000024,20251220,LOC-009,Event Hosting,134,109,Delivered,27.6
OPS-000025,20240315,LOC-003,Facility Mgmt,170,156,Delivered,29.9
OPS-000026,20240926,LOC-001,Event Hosting,181,111,Cancelled,2.9
OPS-000027,20260617,LOC-001,Facility Mgmt,131,93,Delivered,19.9
OPS-000028,20250917,LOC-003,Catering,68,64,Delivered,31.5
