employee_id,hire_date,exit_date,department,job_title,employment_status,termination_type,monthly_salary,location_id
EMP-0001,2024-09-29,,Marketing,Specialist,Active,None,9996,LOC-008
EMP-0002,2025-02-17,,Marketing,Manager,Active,None,14740,LOC-009
EMP-0003,2025-05-14,2026-03-21,Finance,Specialist,Terminated,Voluntary,5757,LOC-004
EMP-0004,2024-04-02,,Marketing,Director,Active,None,13148,LOC-001
EMP-0005,2024-03-19,,Operations,Manager,Active,None,9464,LOC-001
EMP-0006,2024-08-04,,Marketing,Lead,Active,None,3178,LOC-005
EMP-0007,2024-12-23,,Operations,Analyst,Active,None,12088,LOC-002
EMP-0008,2025-05-21,,Marketing,Specialist,Active,None,9362,LOC-008
EMP-0009,2025-07-12,,Finance,Lead,Active,None,12743,LOC-010
EMP-0010,2024-06-29,2026-02-20,Operations,Director,Terminated,Involuntary,11683,LOC-005
EMP-0011,2025-07-29,,Sales,Analyst,Active,None,3060,LOC-005
EMP-0012,2024-09-02,2025-12-29,Operations,Lead,Terminated,Voluntary,12269,LOC-002
EMP-0013,2024-08-31,,Finance,Analyst,Active,None,9681,LOC-007
EMP-0014,2025-05-20,,Customer Support,Specialist,Active,None,5895,LOC-008
EMP-0015,2025-02-25,,Operations,Director,Active,None,14875,LOC-010
EMP-0016,2024-11-15,,Marketing,Analyst,Active,None,3585,LOC-001
EMP-0017,2024-03-27,,Marketing,Lead,Active,None,8823,LOC-002
EMP-0018,2024-08-04,,Customer Support,Specialist,Active,None,14962,LOC-010
EMP-0019,2025-05-04,,Finance,Specialist,Active,None,3534,LOC-004
EMP-0020,2025-06-02,2026-07-24,HR,Lead,Terminated,Voluntary,6462,LOC-005
EMP-0021,2024-10-04,2025-09-25,Marketing,Lead,Terminated,Voluntary,7011,LOC-002
EMP-0022,2024-06-17,,Sales,Analyst,Active,None,6398,LOC-001
EMP-0023,2024-11-25,,Finance,Manager,Active,None,5155,LOC-009
EMP-0024,2025-03-16,,Operations,Specialist,Active,None,8966,LOC-001
EMP-0025,2025-01-25,,Operations,Analyst,Active,None,10329,LOC-004
EMP-0026,2025-05-10,,Sales,Lead,Active,None,9957,LOC-002
EMP-0027,2025-01-15,,Marketing,Analyst,Active,None,12196,LOC-004
EMP-0028,2024-11-01,,Finance,Lead,Active,None,13691,LOC-008
EMP-0029,2025-05-27,,Sales,Director,Active,None,8325,LOC-008
EMP-0030,2024-07-06,2025-10-06,Marketing,Lead,Terminated,Voluntary,11518,LOC-009
EMP-0031,2025-05-30,,Finance,Lead,Active,None,7703,LOC-005
EMP-0032,2025-03-02,2025-12-22,Operations,Lead,Terminated,Voluntary,5706,LOC-007
EMP-0033,2025-05-16,,Finance,Manager,Active,None,3001,LOC-003
EMP-0034,2024-09-16,,Customer Support,Lead,Active,None,12225,LOC-010
EMP-0035,2025-05-27,,HR,Specialist,Active,None,13673,LOC-004
EMP-0036,2024-03-11,,Finance,Specialist,Active,None,11316,LOC-010
EMP-0037,2025-04-22,,HR,Analyst,Active,None,4104,LOC-009
EMP-0038,2024-06-26,,Finance,Manager,Active,None,13891,LOC-010
EMP-0039,2025-04-01,,HR,Analyst,Active,None,4861,LOC-010
EMP-0040,2024-07-07,,Customer Support,Specialist,Active,None,8269,LOC-001
EMP-0041,2024-10-17,,Operations,Specialist,Active,None,9943,LOC-002
EMP-0042,2025-06-03,,Marketing,Director,Active,None,14112,LOC-005
EMP-0043,2024-10-18,,HR,Lead,Active,None,11320,LOC-003
EMP-0044,2024-10-09,,Customer Support,Specialist,Active,None,3437,LOC-002
EMP-0045,2025-06-27,,HR,Analyst,Active,None,7846,LOC-001
EMP-0046,2025-01-11,,Operations,Analyst,Active,None,13740,LOC-010
EMP-0047,2024-06-04,2025-10-09,HR,Lead,Terminated,Voluntary,6129,LOC-003
EMP-0048,2025-05-22,,Customer Support,Lead,Active,None,12413,LOC-001
EMP-0049,2025-02-16,,Customer Support,Director,Active,None,11081,LOC-001
EMP-0050,2025-06-11,,Sales,Manager,Active,None,3901,LOC-001
EMP-0051,2024-12-20,,Operations,Analyst,Active,None,14360,LOC-008
EMP-0052,2025-07-12,,Sales,Lead,Active,None,8398,LOC-003
