campaign_id,campaign_name,channel,start_date,end_date,ad_spend,impressions,clicks,conversions,generated_revenue
CMP-0001,Campaign 1,Email,2024-07-30,2025-02-24,11921.94,145486,16621,199,33887.04
CMP-0002,Campaign 2,SEO,2024-06-01,2025-04-26,8643.22,93030,831,361,32696.94
CMP-0003,Campaign 3,Email,2024-06-06,2025-02-13,8118.34,130360,18305,152,28530.36
CMP-0004,Campaign 4,SEO,2024-12-27,2025-02-15,4475.77,358117,8012,462,18449.68
CMP-0005,Campaign 5,SEO,2024-05-18,2025-10-24,9171.05,465353,23774,855,26575.18
CMP-0006,Campaign 6,SEO,2024-08-08,2025-06-28,19704.4,145009,5431,272,59048.91
CMP-0007,Campaign 7,LinkedIn,2024-09-29,2025-08-14,6657.33,308875,13242,284,24269.89
CMP-0008,Campaign 8,Meta Ads,2024-06-02,2025-10-11,12394.38,490078,22909,112,19963.56
CMP-0009,Campaign 9,LinkedIn,2024-09-05,2025-05-28,15753.25,179737,13926,681,45018.52
CMP-0010,Campaign 10,SEO,2024-10-05,2025-03-01,15234.0,477726,21292,430,74546.26
CMP-0011,Campaign 11,Meta Ads,2024-10-30,2025-11-01,7246.71,420716,5613,157,9730.15
CMP-0012,Campaign 12,Meta Ads,2024-10-02,2025-03-08,12606.34,124360,8919,227,30265.53
CMP-0013,Campaign 13,SEO,2024-01-02,2025-04-06,17554.03,273894,3381,656,42017.63
CMP-0014,Campaign 14,Meta Ads,2024-03-28,2025-09-20,1293.5,75018,13645,765,4665.87
CMP-0015,Campaign 15,Meta Ads,2024-10-13,2025-05-09,9278.95,407243,14056,592,14865.26
CMP-0016,Campaign 16,LinkedIn,2024-05-09,2025-03-10,5261.19,250904,19749,326,18879.61
CMP-0017,Campaign 17,Meta Ads,2024-03-18,2025-08-15,8384.01,146817,3075,285,13088.72
CMP-0018,Campaign 18,SEO,2024-09-16,2025-04-20,8903.8,202803,13214,665,13897.26
CMP-0019,Campaign 19,Google Ads,2024-08-28,2025-10-10,15186.75,96984,6685,337,60247.31
CMP-0020,Campaign 20,Google Ads,2024-05-20,2025-04-27,2782.62,380127,9156,132,6766.54
CMP-0021,Campaign 21,Google Ads,2024-08-15,2025-02-28,10739.09,300595,6241,920,52774.11
CMP-0022,Campaign 22,SEO,2024-06-11,2025-04-01,11719.7,365887,17161,397,15727.15
CMP-0023,Campaign 23,Google Ads,2024-08-23,2025-03-07,10388.99,343618,565,473,30038.78
CMP-0024,Campaign 24,LinkedIn,2024-05-07,2025-02-15,14905.59,202608,4762,210,24294.87
CMP-0025,Campaign 25,SEO,2024-07-18,2025-05-06,8292.03,22150,6204,910,21022.29
CMP-0026,Campaign 26,SEO,2025-01-24,2025-02-04,18954.37,285550,15855,459,94643.82
CMP-0027,Campaign 27,SEO,2024-01-31,2025-06-19,10154.27,160853,9094,206,46482.2
CMP-0028,Campaign 28,Meta Ads,2024-05-17,2025-08-18,11853.06,198489,12675,850,16400.28
CMP-0029,Campaign 29,Meta Ads,2024-01-21,2025-06-16,16685.09,388191,24873,386,55734.41
CMP-0030,Campaign 30,Meta Ads,2024-08-21,2025-04-30,6229.49,396115,13196,108,22810.68
CMP-0031,Campaign 31,Email,2024-07-20,2025-11-25,2428.84,375301,6755,206,4848.53
CMP-0032,Campaign 32,LinkedIn,2024-10-05,2025-11-09,14447.9,28325,7941,838,25304.07
CMP-0033,Campaign 33,SEO,2024-05-10,2025-08-02,10177.23,209756,21576,965,47188.24
CMP-0034,Campaign 34,SEO,2024-05-27,2025-02-07,18033.58,366559,15486,151,88030.97
CMP-0035,Campaign 35,Meta Ads,2024-01-29,2025-06-09,19670.92,214541,13850,891,97748.6
CMP-0036,Campaign 36,SEO,2024-12-26,2025-07-28,8583.08,412652,14940,654,36058.33
CMP-0037,Campaign 37,SEO,2024-11-03,2025-10-12,8893.34,27669,21303,579,33094.86
CMP-0038,Campaign 38,Google Ads,2025-01-05,2025-02-24,8751.29,399529,8460,819,21998.77
CMP-0039,Campaign 39,SEO,2024-06-10,2025-05-19,7166.53,344154,22962,395,13267.49
CMP-0040,Campaign 40,Email,2024-12-22,2025-04-10,15852.05,217836,18321,710,23780.08
CMP-0041,Campaign 41,Meta Ads,2024-12-05,2025-10-24,15420.92,142915,23916,711,59131.99
CMP-0042,Campaign 42,LinkedIn,2024-03-01,2025-03-24,10094.25,206681,22615,118,42213.64
CMP-0043,Campaign 43,LinkedIn,2024-05-04,2025-02-19,1848.56,60812,20262,861,8023.72
CMP-0044,Campaign 44,Google Ads,2024-03-11,2025-06-28,6881.63,288203,14165,53,32153.09
CMP-0045,Campaign 45,LinkedIn,2024-11-21,2025-10-11,6553.76,358413,23231,951,29778.53
CMP-0046,Campaign 46,LinkedIn,2025-01-29,2025-04-19,16410.66,262862,23285,601,82037.17
CMP-0047,Campaign 47,Meta Ads,2024-12-29,2025-11-20,2663.94,181840,7129,190,5667.38
CMP-0048,Campaign 48,Meta Ads,2024-08-30,2025-11-12,16307.83,35395,14328,385,66871.38
CMP-0049,Campaign 49,Email,2024-09-05,2025-04-10,13714.49,292346,5041,803,47020.76
CMP-0050,Campaign 50,Google Ads,2024-08-08,2025-06-08,14916.39,416489,8376,78,32707.64
