transaction_id,date_id,customer_id,location_id,product_category,quantity,unit_price,discount_amount,gross_revenue,net_revenue
TXN-000001,20241009,CUST-0062,LOC-005,Office Supplies,17,186.25,86.49,3166.25,3079.76
TXN-000002,20240127,CUST-0010,LOC-003,Furniture,9,186.54,198.87,1678.86,1479.99
TXN-000003,20240813,CUST-0021,LOC-004,Furniture,33,374.0,1219.47,12342.0,11122.53
TXN-000004,20241003,CUST-0036,LOC-002,Industrial Equipment,20,237.06,354.31,4741.2,4386.89
TXN-000005,20260308,CUST-0012,LOC-009,Industrial Equipment,13,127.81,138.41,1661.53,1523.12
TXN-000006,20250831,CUST-0091,LOC-003,Furniture,28,237.17,716.41,6640.76,5924.35
TXN-000007,20241010,CUST-0002,LOC-002,Industrial Equipment,48,87.61,144.11,4205.28,4061.17
TXN-000008,20260528,CUST-0013,LOC-010,Furniture,29,104.67,453.65,3035.43,2581.78
TXN-000009,20250425,CUST-0053,LOC-009,Furniture,13,259.22,492.74,3369.86,2877.12
TXN-000010,20250328,CUST-0032,LOC-007,Furniture,46,221.08,992.04,10169.68,9177.64
TXN-000011,20260408,CUST-0095,LOC-006,Electronics,35,459.13,480.98,16069.55,15588.57
TXN-000012,20260326,CUST-0016,LOC-001,Industrial Equipment,6,193.95,118.74,1163.7,1044.96
TXN-000013,20251020,CUST-0032,LOC-005,Office Supplies,18,298.68,58.22,5376.24,5318.02
TXN-000014,20250530,CUST-0032,LOC-003,Office Supplies,5,323.49,7.44,1617.45,1610.01
TXN-000015,20250630,CUST-0098,LOC-001,Industrial Equipment,47,26.29,47.76,1235.63,1187.87
TXN-000016,20240710,CUST-0011,LOC-004,Furniture,25,338.5,587.24,8462.5,7875.26
TXN-000017,20240218,CUST-0010,LOC-002,Office Supplies,2,105.46,27.47,210.92,183.45
TXN-000018,20250526,CUST-0015,LOC-002,Office Supplies,10,481.31,524.99,4813.1,4288.11
TXN-000019,20240117,CUST-0017,LOC-003,Industrial Equipment,30,91.36,305.34,2740.8,2435.46
TXN-000020,20240620,CUST-0040,LOC-008,Office Supplies,45,219.02,629.04,9855.9,9226.86
TXN-000021,20240807,CUST-0018,LOC-008,Furniture,5,60.97,15.82,304.85,289.03
TXN-000022,20240606,CUST-0055,LOC-007,Industrial Equipment,33,498.5,915.57,16450.5,15534.93
TXN-000023,20250421,CUST-0073,LOC-006,Furniture,1,261.05,38.67,261.05,222.38
TXN-000024,20240215,CUST-0025,LOC-009,Office Supplies,18,305.78,33.11,5504.04,5470.93
TXN-000025,20250107,CUST-0059,LOC-004,Office Supplies,32,52.2,217.24,1670.4,1453.16
TXN-000026,20250601,CUST-0078,LOC-001,Furniture,47,379.98,1550.19,17859.06,16308.87
TXN-000027,20240408,CUST-0089,LOC-008,Electronics,49,120.75,389.28,5916.75,5527.47
TXN-000028,20260610,CUST-0022,LOC-007,Office Supplies,11,451.07,539.78,4961.77,4421.99
TXN-000029,20260114,CUST-0030,LOC-007,Electronics,21,118.47,181.62,2487.87,2306.25
TXN-000030,20240206,CUST-0084,LOC-003,Office Supplies,26,111.53,379.91,2899.78,2519.87
TXN-000031,20241006,CUST-0085,LOC-004,Electronics,25,37.54,126.8,938.5,811.7
TXN-000032,20241214,CUST-0044,LOC-010,Electronics,22,246.59,343.17,5424.98,5081.81
TXN-000033,20250511,CUST-0032,LOC-009,Electronics,27,291.12,326.39,7860.24,7533.85
TXN-000034,20241028,CUST-0051,LOC-006,Furniture,49,51.54,224.39,2525.46,2301.07
TXN-000035,20240629,CUST-0046,LOC-005,Electronics,13,392.25,697.86,5099.25,4401.39
TXN-000036,20250829,CUST-0021,LOC-003,Electronics,33,237.58,247.74,7840.14,7592.4
TXN-000037,20240408,CUST-0099,LOC-009,Electronics,34,271.71,863.26,9238.14,8374.88
TXN-000038,20251130,CUST-0032,LOC-005,Office Supplies,41,231.57,899.44,9494.37,8594.93
TXN-000039,20240425,CUST-0094,LOC-005,Electronics,35,212.37,817.38,7432.95,6615.57
TXN-000040,20240709,CUST-0039,LOC-004,Office Supplies,1,288.63,5.7,288.63,282.93
